Mods count: 747
 
jar name                                                                            | mod id (isMCreator)                            | mixin configs
colorfulhearts-forge-1.20.1-4.3.16.jar                                              | colorfulhearts                                 | colorfulhearts-common.mixins.json, colorfulhearts-forge.mixins.json
comforts-forge-6.4.0+1.20.1.jar                                                     | comforts                                       | comforts.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                            | spectrelib                                     | 
CommonCapabilities-1.20.1-2.9.11.jar                                                | commoncapabilities                             | 
compactmachines-forge-6.0.3.jar                                                     | compactmachines                                | 
    /META-INF/jarjar/core-0.1.9.jar                                                 |                                                | 
    /META-INF/jarjar/jnanoid-2.0.0.jar                                              |                                                | 
    /META-INF/jarjar/levels-0.1.9.jar                                               |                                                | gander_levels.mixins.json
    /META-INF/jarjar/rendering-0.1.9.jar                                            |                                                | gander_render.mixins.json
    /META-INF/jarjar/ui-0.1.9.jar                                                   |                                                | 
compressedcreativity-1.20.1-0.2.0-all.jar                                           | compressedcreativity                           | mixins.compressedcreativity.refmap.json, mixins.compressedcreativity.json
configuration-forge-1.20.1-3.1.0.jar                                                | configuration                                  | configuration.mixins.json
configured-forge-1.20.1-2.2.3.jar                                                   | configured                                     | configured.common.mixins.json
connectedglass-1.1.14-forge-mc1.20.1.jar                                            | connectedglass                                 | 
connectivity-1.20.1-7.2.jar                                                         | connectivity                                   | connectivity.mixins.json
constructionwand-1.20.1-2.11.jar                                                    | constructionwand                               | 
Controlling-forge-1.20.1-12.0.2.jar                                                 | controlling                                    | controlling.mixins.json, controlling.forge.mixins.json
cookingforblockheads-forge-1.20.1-16.0.14.jar                                       | cookingforblockheads                           | cookingforblockheads.mixins.json
copycats-3.0.2+mc.1.20.1-forge.jar                                                  | copycats                                       | copycats-common.mixins.json, copycats-forge.mixins.json
Corgilib-Forge-1.20.1-4.0.3.4.jar                                                   | corgilib                                       | corgilib-common.mixins.json
coroutil-forge-1.20.1-1.3.7.jar                                                     | coroutil                                       | coroutil.mixins.json, coroutil_fabric.mixins.json
corpse-forge-1.20.1-1.0.23.jar                                                      | corpse                                         | 
corpsecurioscompat-1.20.1-Forge-3.1.3.jar                                           | corpsecurioscompat                             | corpsecurioscompat.mixins.json
cosmeticarmorreworked-1.20.1-v1a.jar                                                | cosmeticarmorreworked                          | 
crafting-on-a-stick-1.20.1-1.1.5.jar                                                | crafting_on_a_stick                            | 
craftingtweaks-forge-1.20.1-18.2.6.jar                                              | craftingtweaks                                 | craftingtweaks.mixins.json
CraftTweaker-forge-1.20.1-14.0.59.jar                                               | crafttweaker                                   | crafttweaker.mixins.json, crafttweaker.forge.mixins.json
CrashAssistant-forge-1.19-1.20.1-1.10.21.jar                                        | crash_assistant                                | 
    /META-INF/jarjar/app.jar                                                        |                                                | 
    /META-INF/jarjar/crash_assistant-forge.jar                                      | crash_assistant                                | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
crashutilities-8.1.4.jar                                                            | crashutilities                                 | 
cratedelight-25.09.22-1.20-forge.jar                                                | cratedelight                                   | 
cratedelightcroptopia-24.12.27-1.20-forge.jar                                       | cratedelightcroptopia                          | 
crawlondemand-1.20.x-1.0.0.jar                                                      | crawlondemand                                  | mixins.crawlondemand.json, mixins.crawlondemand.refmap.json
Create Encased-1.20.1-1.7.2-fix2.jar                                                | createcasing                                   | createcasing.mixins.json
create-1.20.1-6.0.8.jar                                                             | create                                         | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                                 | ponder                                         | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                    |                                                | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar                                | flywheel                                       | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create-confectionery1.20.1_v1.1.0.jar                                               | create_confectionery (MCreator mod)            | 
create-new-age-forge-1.20.1-1.1.4.jar                                               | create_new_age                                 | create_new_age.mixins.json, create.mixins.json
create-otbwg-compat-1.0.jar                                                         | create_otbwg_compat                            | 
create-stuff-additions1.20.1_v2.1.0.jar                                             | create_sa (MCreator mod)                       | mixins.create_sa.json, mixins.create_sa.refmap.json
create_ad_astra_compat-forge-1.20.1-1.0.0.jar                                       | create_ad_astra_compat                         | 
create_ad_astra_recipes-1.0.0-forge-1.20.1.jar                                      | create_ad_astra_recipes (MCreator mod)         | 
create_alexscaves_compat-1.5.1.jar                                                  | create_alexscaves_compat                       | 
create_aquatic_ambitions-1.20.1-6.0.8-2.0.2.jar                                     | create_aquatic_ambitions                       | 
create_ars_nouveau_compat-1.21.1-1.0.jar                                            | create_ars_nouveau_compat                      | 
create_blue_skies_compat-forge-1.20.1-1.0.1.jar                                     | create_blue_skies_compat                       | 
create_central_kitchen-1.20.1-for-create-6.0.6-1.4.3b.jar                           | create_central_kitchen                         | create_central_kitchen.mixins.json, datapacks/farmersdelight/data/create/recipes/mixing/dough_by_mixing.json, datapacks/farmersdelight/data/farmersdelight/recipes/integration/create/mixing/tomato_sauce_from_mixing.json
create_compatible_storage-2.8.1-all.jar                                             | create_compatible_storage                      | create_compatible_storage.mixins.json
create_compressed-2.1.0-forge-1.20.1.jar                                            | create_compressed (MCreator mod)               | 
create_connected-1.1.9-mc1.20.1-all.jar                                             | create_connected                               | create_connected.mixins.json
create_curios_backtank-forge-1.20.1-1.0.1.jar                                       | create_curios_backtank                         | 
create_enchantment_industry-1.3.3-for-create-6.0.6.jar                              | create_enchantment_industry                    | create_enchantment_industry.mixins.json
create_factory_logistics-1.20.1-1.4.7.jar                                           | create_factory_logistics                       | mixins.create_factory_logistics.json
    /META-INF/jars/create_factory_abstractions-1.20.1-1.4.7.jar                     | create_factory_abstractions                    | 
create_hypertube-0.2.6-hotfix-FORGE.jar                                             | create_hypertube                               | conflict_fix.mixins.json, create_hypertube.mixins.json
create_jetpack-forge-4.4.5.jar                                                      | create_jetpack                                 | 
    /META-INF/jarjar/flightlib-forge-2.2.1.jar                                      | flightlib                                      | flightlib.mixins.json
create_jetpack_curios-1.2.0-forge-1.20.1.jar                                        | create_jetpack_curios                          | 
create_mecanical_extruder-1.20.1-1.6.11-6.0.6.jar                                   | create_mechanical_extruder                     | create_mechanical_extruder.mixins.json
create_mechanical_chicken-1.20.1-1.1.5-6.0.2.jar                                    | create_mechanical_chicken                      | create_mechanical_chicken.mixins.json
Create_Questing-FORGE-1.20.1-1.0.0.jar                                              | create_questing                                | create_questing.mixins.json, mixins.create_questing.refmap.json
create_radar-0.3.1+mc1.20.1-all.jar                                                 | create_radar                                   | create_radar.mixins.json
    /META-INF/jarjar/commons-math3-3.6.1.jar                                        |                                                | 
create_ranged-1.1.0-forge-1.20.1.jar                                                | create_ranged                                  | 
create_recycle_1.0.2_forge_1.20.1.jar                                               | create_crush_everything (MCreator mod)         | 
create_security-0.1.2-forge-1.20.1.jar                                              | create_security                                | mixins.create_furniture.json, mixins.create_security.json
create_sophback_compat-1.0.jar                                                      | create_sophback_compat                         | 
create_structures_arise-166.39.38-forge-1.20.1.jar                                  | create_structures_arise                        | mixins.create_structures_arise.json
create_thermal-1.0.0-forge-1.20.1.jar                                               | create_thermal (MCreator mod)                  | 
create_ultimate_factory-2.2.1-forge-1.20.1.jar                                      | create_ultimate_factory                        | 
Create_Waystone_Recipes_1.19_v2.jar                                                 | create_waystone_recipes                        | 
create_waystones_recipes-1.0.1.b.jar                                                | create_waystones_recipes                       | 
createaddition-1.20.1-1.3.3.jar                                                     | createaddition                                 | createaddition.mixins.json
createappliedkinetics-1.5.1-1.20.1.jar                                              | createappliedkinetics                          | createappliedkinetics.mixins.json
createarmoryv0.6.1n.jar                                                             | createarmory                                   | 
createbetterfps-1.20.1-1.1.1.jar                                                    | createbetterfps                                | createbetterfps.mixins.json
createbigcannons-5.9.1-mc.1.20.1-forge.jar                                          | createbigcannons                               | createbigcannons.mixins.json, createbigcannons-common.mixins.json
createcontraptionterminals-1.20-1.2.0.jar                                           | createcontraptionterminals                     | cct.mixins.json, cct.mixins.refmap.json
createdeco-2.0.3-1.20.1-forge.jar                                                   | createdeco                                     | createdeco-common.mixins.json, createdeco.mixins.json
createdieselgenerators-1.20.1-1.3.5.jar                                             | createdieselgenerators                         | createdieselgenerators.mixins.json
createenchantablemachinery-3.4.3+mc1.20.1-forge.jar                                 | createenchantablemachinery                     | createenchantablemachinery.mixins.json
createfiltersanywhere-1.6.0-1.20.1.jar                                              | createfiltersanywhere                          | createfiltersanywhere.mixins.json
